iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009247_6_2_1_33	6.2.1.33: 4-chlorobenzoate--CoA ligase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.014201	24.3173	2.297303192	1.00097	2.29462	0.38542	125			
EUPATH_0009247_6_2_1_5	6.2.1.5: Succinate--CoA ligase (ADP-forming)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.380761	892.44714	204.0767765	199.0928895	289.558241	97.7034	678			
EUPATH_0009247_6_3_2_14	6.3.2.14: Enterobactin synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.079829	108.8641	4.59936003703704	0.149662	0.231771	0.1168785	27			
EUPATH_0009247_6_3_2_17	6.3.2.17: Tetrahydrofolate synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.083217	961.634	178.20371274026	136.935525	257.167214	51.658676	693			
EUPATH_0009247_6_3_2_3	6.3.2.3: Glutathione synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.064598	433.8085	76.3334813875839	66.3486	112.154871	26.088715	595			
EUPATH_0009247_6_3_2_34	6.3.2.34: Coenzyme F420-1:gamma-L-glutamate ligase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.110986	0.11615	0.113568	0.113568	0.11615	0.110986	2	["0.110986","0.116150"]		
EUPATH_0009247_6_3_2_39	6.3.2.39: Aerobactin synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.16232	10.0215	2.53782233333333	1.223268	2.40458	0.191998	6	["0.162320","0.191998","0.717826","1.728710","2.404580","10.021500"]		
EUPATH_0009247_6_3_2_4	6.3.2.4: D-alanine--D-alanine ligase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	22.19223	770.809	301.901412538776	312.9482	361.7527485	212.439735	735			
EUPATH_0009247_6_3_3_1	6.3.3.1: Phosphoribosylformylglycinamidine cyclo-ligase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.232049	547.43388	213.723423198839	229.34299	302.47197	126.198077	689			
EUPATH_0009247_6_3_4_20	6.3.4.20: 7-cyano-7-deazaguanine synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.663309	372.400314	148.206070773791	138.915756	209.077858	89.978822	641			
EUPATH_0009247_6_4_1_3	6.4.1.3: Propionyl-CoA carboxylase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.138491	255.6206	53.4455754153355	46.7561595	72.012491	25.859027	625			
EUPATH_0009247_6_5_1_1	6.5.1.1: DNA ligase (ATP)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.066746	185.351021	19.7390131907757	13.93454	28.549824	3.24251	477			
EUPATH_0009247_6_6_1_1	6.6.1.1: Magnesium chelatase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.08663	286.25	32.6414990938023	19.402622	40.45216	5.08488	597			
EUPATH_0009247_7_2_1_2	7.2.1.2	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.127469	10.57289	2.48296686057692	1.7523205	3.588175	0.724347	207			
EUPATH_0009247_7_2_4_1	7.2.4.1	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.057913	15.0369	1.75089476785714	1.1000635	2.353614	0.3183585	112			
EUPATH_0009247_7_6_2_2	7.6.2.2	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.248795	15.61499	2.30967	0.698742	0.839945	0.40824	9	["0.248795","0.251960","0.408240","0.501625","0.698742","0.799405","0.839945","1.423328","15.614990"]		
EUPATH_0009247_1_13_11_2	1.13.11.2: Catechol 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.05196	274.0266	10.923966443038	8.113427	14.0143975	2.8712135	395			
EUPATH_0009247_1_13_11_20	1.13.11.20: Cysteine dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.225315	1.03772	0.46338163636364	0.341826	0.52732	0.277491	11			
EUPATH_0009247_1_13_11_39	1.13.11.39: Biphenyl-2,3-diol 1,2-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.067474	51.8389	4.61862332307692	2.254005	5.67897	0.64599	130			
EUPATH_0009247_1_13_12_21	1.13.12.21: Tetracenomycin-F1 monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.078685	0.078685	0.078685	0.078685			1	["0.078685"]		
EUPATH_0009247_1_14_12_18	1.14.12.18: Biphenyl 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.014735	41.8334	2.5244408	0.1808225	0.637925	0.0414825	20			
EUPATH_0009247_1_14_13_59	1.14.13.59: L-lysine N(6)-monooxygenase (NADPH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.086914	195.49	19.04540412	0.880995	12.4989	0.298873	25			
EUPATH_0009247_1_14_14_154	1.14.14.154	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.105062	0.560501	0.31321885714286	0.249392	0.4089375	0.229851	7	["0.105062","0.214286","0.245416","0.249392","0.338573","0.479302","0.560501"]		
EUPATH_0009247_1_14_99_48	1.14.99.48: Heme oxygenase (staphylobilin-producing)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.052143	372.69026	36.8617279104478	20.4005	41.220815	6.528725	67			
EUPATH_0009247_1_15_1_2	1.15.1.2: Superoxide reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.110492	53.56078	4.93050529976581	2.41997	5.6623165	1.1244425	427			
EUPATH_0009247_1_16_1_1	1.16.1.1: Mercury(II) reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.142575	573.62636	117.782872482315	83.986225	179.142702	33.267333	622			
EUPATH_0009247_1_17_2_3	1.17.2.3	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.181456	0.228407	0.2049315	0.2049315	0.228407	0.181456	2	["0.181456","0.228407"]		
EUPATH_0009247_1_17_99_7	1.17.99.7	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.080976	37.3664	2.54205877777778	0.241827	0.947583	0.112021	18			
EUPATH_0009247_1_1_1_1	1.1.1.1: Alcohol dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	2.606818	1118.754914	283.558560110644	213.660418	419.150927	91.9209	714			
EUPATH_0009247_1_1_1_102	1.1.1.102: 3-dehydrosphinganine reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.140485	0.677008	0.337833875	0.2870475	0.4939635	0.161578	8	["0.140485","0.152743","0.170413","0.243085","0.331010","0.350219","0.637708","0.677008"]		
EUPATH_0009247_1_1_1_107	1.1.1.107: Pyridoxal 4-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.069135	91.6041	10.1684001	1.0602695	7.079855	0.197936	20			
EUPATH_0009247_1_1_1_122	1.1.1.122: D-threo-aldose 1-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.089629	223.5475	27.7549886335404	2.59461	48.37788	0.580167	322			
EUPATH_0009247_1_1_1_132	1.1.1.132: GDP-mannose 6-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.077359	185.21	7.6484140972973	2.11507	6.302266	0.650576	185			
EUPATH_0009247_1_1_1_158	1.1.1.158: Transferred entry: 1.3.1.98	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	23.6902	23.6902	23.6902	23.6902			1	["23.690200"]		
EUPATH_0009247_1_1_1_26	1.1.1.26: Glyoxylate reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.067787	144.809	3.77226534722222	1.8597095	3.500515	0.828444	288			
EUPATH_0009247_1_1_1_271	1.1.1.271: GDP-L-fucose synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.406546	278.4828	66.9355203530499	50.51107	94.55618	21.032653	541			
EUPATH_0009247_1_1_1_289	1.1.1.289: Sorbose reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.0667	4.61787	0.63452530232558	0.200948	0.655966	0.138211	43			
EUPATH_0009247_1_1_1_290	1.1.1.290: 4-phosphoerythronate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.998307	765.299	164.763961395894	169.6900635	227.199399	92.095312	682			
EUPATH_0009247_1_1_1_303	1.1.1.303: Diacetyl reductase ((R)-acetoin forming)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.194384	1.17152	0.480776	0.344469	0.393973	0.299534	5	["0.194384","0.299534","0.344469","0.393973","1.171520"]		
EUPATH_0009247_1_1_1_313	1.1.1.313: Sulfoacetaldehyde reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.259834	0.259834	0.259834	0.259834			1	["0.259834"]		
EUPATH_0009247_1_1_1_38	1.1.1.38: Malate dehydrogenase (oxaloacetate-decarboxylating)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.073579	712.3	67.1172246853253	33.74571	95.888652	6.624064	661			
EUPATH_0009247_1_1_1_40	1.1.1.40: Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.237629	290.193	74.577372411093	66.775212	100.872891	38.693352	613			
EUPATH_0009247_1_1_1_49	1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	6.922538	581.103	182.56466342623	178.9416625	242.14924	101.322591	732			
EUPATH_0009247_1_1_1_64	1.1.1.64: Testosterone 17-beta-dehydrogenase (NADP(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.064561	2.44924	0.35930009090909	0.2119365	0.358054	0.1281125	44			
EUPATH_0009247_1_1_1_79	1.1.1.79: Glyoxylate reductase (NADP(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.058783	341.769683	7.35945644554455	0.492075	1.28442	0.180612	202			
EUPATH_0009247_1_1_3_20	1.1.3.20: Long-chain-alcohol oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.126087	15.6282	2.57229342105263	0.887753	2.42823	0.5537375	19			
EUPATH_0009247_1_20_4_4	1.20.4.4: Arsenate reductase (thioredoxin)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.114513	272.243	33.7104484444444	24.28	43.62145	8.01015	63			
EUPATH_0009247_1_2_1_10	1.2.1.10: Acetaldehyde dehydrogenase (acetylating)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.089331	641.255	31.8578296146341	14.069601	25.0968695	7.0469815	615			
EUPATH_0009247_1_2_1_5	1.2.1.5: Aldehyde dehydrogenase (NAD(P)(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.028316	102.126731	4.9974677037037	0.310259	1.242812	0.1374115	27			
EUPATH_0009247_1_2_1_59	1.2.1.59: Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.056033	27.3469	2.19287553846154	0.462012	1.564	0.208929	91			
EUPATH_0009247_1_2_1_71	1.2.1.71: Succinylglutamate-semialdehyde dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.070033	67.336344	3.00096285185185	0.198601	0.503181	0.1387195	27			
EUPATH_0009247_1_2_1_9	1.2.1.9: Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.066409	176.36237	27.2271847871397	14.885515	37.244305	2.613142	451			
EUPATH_0009247_1_2_4_1	1.2.4.1: Pyruvate dehydrogenase (acetyl-transferring)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.073537	547.34	134.206020362406	132.80332	208.769124	45.204092	665			
EUPATH_0009247_1_2_4_4	1.2.4.4: 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.118647	250.381	14.6183279060956	6.800141	13.211662	3.399525	607			
EUPATH_0009247_1_2_7_5	1.2.7.5: Aldehyde ferredoxin oxidoreductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.062133	3.08145	0.47838523076923	0.279336	0.345988	0.190696	13			
EUPATH_0009247_1_2_99_3	1.2.99.3: Transferred entry: 1.2.5.2	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.055355	0.580008	0.20749514285714	0.135929	0.263092	0.101151	21			
EUPATH_0009247_1_3_1_34	1.3.1.34: 2,4-dienoyl-CoA reductase (NADPH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.073772	220.496038	10.1067404063927	4.434614	11.440579	0.5021955	219			
EUPATH_0009247_1_3_1_91	1.3.1.91: tRNA-dihydrouridine(20) synthase (NAD(P)(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.072619	265.256	50.0929820649351	37.47831	75.772673	8.844225	539			
EUPATH_0009247_1_3_3_3	1.3.3.3: Coproporphyrinogen oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.06366	254.238	20.5303121857451	11.897652	26.9085725	3.2039815	463			
EUPATH_0009247_1_3_5_3	1.3.5.3: Protoporphyrinogen IX dehydrogenase (menaquinone)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.048925	285.278	39.2488840775681	24.606799	56.831972	7.008292	477			
EUPATH_0009247_1_3_7_8	1.3.7.8: Benzoyl-CoA reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.023711	57.7394	5.11254824941176	2.374881	7.04613	0.849054	425			
EUPATH_0009247_1_3_8_13	1.3.8.13	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.065674	32.58799	2.07988256097561	0.212652	0.560144	0.119927	41			
EUPATH_0009247_1_3_99_29	1.3.99.29: Phytoene desaturase (zeta-carotene-forming)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.085188	0.738836	0.30493828	0.273138	0.370337	0.207691	25			
EUPATH_0009247_1_3_99_3	1.3.99.3: Transferred entry: 1.3.8.7, 1.3.8.8 and 1.3.8.9	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.121057	21.4534	3.11134645454545	0.289948	2.2126	0.185783	11			
EUPATH_0009247_1_4_3_2	1.4.3.2: L-amino-acid oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.87469	1.87469	1.87469	1.87469			1	["1.874690"]		
EUPATH_0009247_1_4_3_23	1.4.3.23: 7-chloro-L-tryptophan oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.998201	0.998201	0.998201	0.998201			1	["0.998201"]		
EUPATH_0009247_1_4_3_5	1.4.3.5: Pyridoxal 5'-phosphate synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.19929	302.355	86.8762884966555	77.864692	125.36369	43.755997	598			
EUPATH_0009247_1_4_99_6	1.4.99.6: D-arginine dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.047083	74.28549	4.37796760700389	1.76635	4.82119	0.563025	257			
EUPATH_0009247_1_7_99_4	1.7.99.4: Nitrate reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.057927	1579.73967	162.736122474732	143.471144	251.1501	27.533627	653			
EUPATH_0009247_1_8_1_2	1.8.1.2: Assimilatory sulfite reductase (NADPH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.054897	455.630817	80.1067912031802	66.046145	116.1705	17.825026	566			
EUPATH_0009247_1_8_2_2	1.8.2.2: Thiosulfate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.051783	3.09793	0.64358945833333	0.4083455	0.9737665	0.2424025	48			
EUPATH_0009247_1_8_4_14	1.8.4.14: L-methionine (R)-S-oxide reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.138546	252.253168	44.2661335697279	24.5426195	55.422093	12.1456995	588			
EUPATH_0009247_1_8_5_7	1.8.5.7	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.12315	15.4379	5.28750633333333	0.301469	7.8696845	0.2123095	3	["0.123150","0.301469","15.437900"]		
EUPATH_0009247_1_8_99_5	1.8.99.5: Dissimilatory sulfite reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.081113	23.1619	0.8092164875	0.3096495	0.62043	0.1898635	80			
EUPATH_0009247_1_9_3_1	1.9.3.1: Cytochrome-c oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.062355	1257.4278	197.686699825279	143.090147	306.268245	53.91689	538			
EUPATH_0009247_2_1_1_100	2.1.1.100: Protein-S-isoprenylcysteine O-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.063921	63.6169	4.26768904074074	2.003115	5.28132	0.527087	270			
EUPATH_0009247_2_1_1_113	2.1.1.113: Site-specific DNA-methyltransferase (cytosine-N(4)-specific)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.064204	55.8563	5.56048664540816	1.5917095	7.7291685	0.468101	392			
EUPATH_0009247_2_1_1_130	2.1.1.130: Precorrin-2 C(20)-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.053496	70.768176	14.8602381797323	8.739005	22.408243	3.679716	523			
EUPATH_0009247_2_1_1_144	2.1.1.144: Trans-aconitate 2-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.073004	78.4486	1.92414101587302	0.8745065	1.620195	0.3868625	252			
EUPATH_0009247_2_1_1_151	2.1.1.151: Cobalt-factor II C(20)-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.091504	106.35384	21.6090153100917	14.335489	34.779563	3.265944	545			
EUPATH_0009247_2_1_1_171	2.1.1.171: 16S rRNA (guanine(966)-N(2))-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.435315	473.665	89.9549906976744	56.4011545	117.711464	30.468007	602			
EUPATH_0009247_2_1_1_177	2.1.1.177: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.17738	884.13096	243.353460746499	238.008125	316.138839	153.456715	714			
EUPATH_0009247_2_1_1_195	2.1.1.195: Cobalt-precorrin-5B (C(1))-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.264732	192.340127	59.3184468243728	58.3647755	80.665368	35.244633	558			
EUPATH_0009247_2_1_1_206	2.1.1.206: tRNA (cytidine(56)-2'-O)-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.079169	1.58033	0.44713135	0.2765	0.6732715	0.1557995	20			
EUPATH_0009247_2_1_1_220	2.1.1.220: tRNA (adenine(58)-N(1))-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.075974	293.185	46.1436923048128	21.55568	63.14216	4.82428	561			
EUPATH_0009247_2_1_1_228	2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	9.75409	680.226747	261.586439091156	264.919672	327.309833	182.90819	735			
EUPATH_0009247_2_1_1_29	2.1.1.29: Transferred entry: 2.1.1.202, 2.1.1.203 and 2.1.1.204	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.124908	0.578275	0.27233675	0.239898	0.328688	0.1691695	8	["0.124908","0.159680","0.178659","0.203401","0.276395","0.299709","0.357667","0.578275"]		
